Date,Bond,DailyPrice,MarketPrice,YTM,Duration,Convexity,ConverFactor
2020-04-27,T 2 ¾ 02/15/28,117.03443524757205,109.9141,0.005842599060285529,7.113390448909446,60.48304765552592,0.8272
2020-04-27,T 2 ⅞ 05/15/28,119.20149257341748,110.8516,0.005931822747895286,7.246612549259212,63.19674231012163,0.8286
2020-04-27,T 1 ⅛ 02/29/28,104.22841207660912,98.9609,0.0059516724397741935,7.527714664431676,65.35748207748159,0.7408
2020-04-27,T 2 ⅞ 08/15/28,118.94513260634561,110.9375,0.006020106903435992,7.498331750625308,67.13229990300476,0.8235
2020-04-27,T 0 ¾ 01/31/28,101.35595328150818,96.5469,0.005941460121470099,7.548314630013738,65.22502544716451,0.7208
2020-04-27,T 0 ⅝ 12/31/27,100.45203615328323,95.8594,0.005912086213521998,7.498104589721568,64.26072739938175,0.7142
2020-04-27,T 3 ⅛ 11/15/28,122.33327399483876,112.8516,0.0060871942701690015,7.596462722022229,69.59663022353422,0.8329
2020-04-27,T 2 ⅝ 02/15/29,117.67223425516713,109.2422,0.006189915154049147,7.97202489314595,75.27525184365494,0.7985
2020-04-27,T 2 ⅜ 05/15/29,116.41813329221135,107.3516,0.006272870554116012,8.19791827792531,79.48220268479054,0.7779
2020-04-27,T 1 ⅝ 08/15/29,109.21166994514226,101.3984,0.006387107635950046,8.683085865155103,87.00063525909033,0.7252
2020-04-27,T 1 ¾ 11/15/29,111.00508153932921,102.2969,0.006444726681855589,8.823726258596816,90.36582520671251,0.7266
2020-04-27,T 1 ½ 02/15/30,108.32358126706737,99.9453,0.00652675544424018,9.166426035227156,96.35968318221455,0.7038
2020-04-27,T 0 ⅝ 05/15/30,99.88500405909613,92.1328,0.00665498351497556,9.7331251578064,105.86909492088921,0.6382
2020-04-27,T 0 ⅝ 08/15/30,99.64811319829907,91.75,0.006725302936308082,9.985032297781327,111.04684606108457,0.6304
2020-04-27,T 0 ⅞ 11/15/30,102.39165944478668,93.6563,0.006778691845108657,10.076042193738612,114.07904364103298,0.6402
2020-04-27,T 1 ⅛ 02/15/31,104.80747267254647,95.7188,0.006833852863476967,10.205599792402733,117.55691959706735,0.6509
2020-04-28,T 2 ¾ 02/15/28,117.36713179174016,109.9141,0.005444548891423559,7.111889101337362,60.478742835419865,0.8272
2020-04-28,T 2 ⅞ 05/15/28,119.55129494333022,110.8516,0.005528442629622321,7.245404533855717,63.1963957177541,0.8286
2020-04-28,T 1 ⅛ 02/29/28,104.54410235130673,98.9609,0.005550803085515892,7.52559525237167,65.34655186196375,0.7408
2020-04-28,T 2 ⅞ 08/15/28,119.3129357036788,110.9375,0.005609258810899767,7.497152651107648,67.13375830465128,0.8235
