Date,Bond,DailyPrice,MarketPrice,YTM,Duration,Convexity,ConverFactor
2021-01-28,T 4 ¼ 05/15/39,146.05841558684756,133.5547,0.014324566108065893,13.85533502364261,237.92270065550548,0.8104
2021-01-28,T 4 ⅝ 02/15/40,154.7440318292122,140.1016,0.014502605951227925,13.984614603779127,246.86406562880828,0.8476
2021-01-28,T 4 ⅜ 11/15/39,148.90590377594367,135.8203,0.014470319985595302,14.079656225148693,246.82983006135242,0.8212
2021-01-28,T 4 ⅜ 05/15/40,149.67071029500516,136.2422,0.01463170916561735,14.365276383983494,257.4388885522187,0.8185
2021-01-28,T 4 ¾ 02/15/41,158.70466714608028,143.1953,0.014784756393428071,14.472874766878498,266.10539947501803,0.8574
2021-01-28,T 3 ½ 02/15/39,134.19709664654198,121.9688,0.014402538255877308,14.05852336126128,241.95767840766615,0.7314
2021-01-28,T 4 ¼ 11/15/40,148.19710456092037,134.5156,0.014812806522803555,14.723427640120235,270.23905924021824,0.8017
2021-01-28,T 4 ⅜ 05/15/41,151.17195169537305,137.0313,0.014931001961438584,14.928471218398622,279.1155217974137,0.8133
2021-01-28,T 3 ⅞ 08/15/40,142.21886282831656,128.25,0.014819083405091487,14.709530895709886,268.97337113886476,0.761
2021-01-28,T 3 ¾ 08/15/41,141.0342737811302,126.5859,0.015140688133067013,15.370397960197701,293.8819295813915,0.74
2021-01-28,T 3 ⅛ 11/15/41,128.80262176232782,115.9219,0.015363574728487532,16.099522044121283,315.150958252986,0.6655
2021-01-28,T 3 ⅛ 02/15/42,129.7267446491106,116.0078,0.015431473029976911,16.152394822438875,319.46284451081345,0.6634
2021-01-28,T 3 ¾ 11/15/43,142.40061191312634,127.3047,0.015690948478187514,16.737739869916005,349.34382725887235,0.7256
2021-01-28,T 3 ⅝ 08/15/43,140.59193078944648,124.8906,0.015666766346624117,16.590409203673936,343.9838767676402,0.712
2021-01-28,T 3 05/15/42,126.75062469201865,113.6719,0.01552784880522793,16.50531142243017,330.60525767481573,0.6466
2021-01-28,T 3 ⅝ 02/15/44,141.05139796933275,125.1172,0.015774292354515152,16.867519696439892,356.3038958790076,0.7088
2021-01-28,T 3 ⅛ 02/15/43,130.31761245056077,115.8281,0.01568052452654685,16.738922362414083,344.429033730125,0.6553
2021-01-28,T 2 ¾ 08/15/42,122.80724545514181,109.2734,0.01566102484870742,16.797380467616165,341.8905542391485,0.6149
2021-01-28,T 3 ⅜ 05/15/44,135.33525417672882,120.5469,0.015886153279166895,17.326803046953323,371.3933251330442,0.6764
2021-01-28,T 2 ¾ 11/15/42,122.20075653060348,109.1094,0.01572272393347141,17.044707965192867,350.398731415697,0.6125
2021-01-28,T 2 ⅞ 05/15/43,124.8145581139521,111.4219,0.015804480706678125,17.218804778752432,359.77427947095396,0.6231
2021-01-28,T 1 ⅞ 02/15/41,106.38679164385753,94.6953,0.015512907880761283,16.785976965294452,328.1118302077886,0.5296
2021-01-28,T 3 ⅛ 08/15/44,131.21096507832166,115.9297,0.01600130435084975,17.595803160247232,382.8882284850968,0.6439
